No,Link,Sumber,Tanggal,Tag,PIC
1,https://news.detik.com/berita/d-8114173/hore-naik-transjakarta-mrt-lrt-jakarta-rp-1-di-17-19-september,news.detik.com,16/9/25,Tarif,Rafi
2,https://news.detik.com/berita/d-8084934/sejumlah-layanan-transjakarta-terganggu-imbas-demo-ini-daftar-rute-yang-dialihkan,news.detik.com,29/8/25,Layanan,Rafi
3,https://news.detik.com/berita/d-8108095/truk-mogok-di-jalan-gatsu-arah-cawang-sejumlah-rute-transj-terganggu,news.detik.com,12/9/25,Operasional,Rafi
4,https://news.detik.com/berita/d-8018912/rano-karno-rute-transjakarta-ancol-blok-m-akan-meluncur-agustus,news.detik.com,19/7/25,Operasional,Rafi
5,https://oto.detik.com/berita/d-8127426/bus-listrik-transjakarta-kecelakaan-di-setiabudi-bukan-karena-rem-blong,oto.detik.com,24/9/25,Layanan,Rafi
6,https://news.detik.com/berita/d-8099155/transjakarta-investigasi-internal-usai-bus-seruduk-warung-di-jaksel,news.detik.com,6/9/25,Layanan,Rafi
7,https://news.detik.com/berita/d-8125150/investigasi-3-kali-kecelakaan-bus-dalam-sebulan-transj-gandeng-knkt,news.detik.com,22/9/25,Layanan,Rafi
8,https://news.detik.com/berita/d-8058951/mereka-menjerit-berjam-jam-antre-di-transj-jalur-langit,news.detik.com,13/8/25,Keluhan,Rafi
9,https://news.detik.com/berita/d-8118174/kecelakaan-truk-vs-transj-di-cideng-jakpus-sopir-luka,news.detik.com,18/9/25,Kriminal,Rafi
10,https://news.detik.com/berita/d-8074906/motor-tersangkut-di-kolong-bus-transjakarta-di-plumpang-jakut,news.detik.com,23/8/25,Kriminal,Rafi
11,https://news.detik.com/berita/d-8123596/nasdem-dorong-evaluasi-transj-imbas-kecelakaan-demi-keselamatan-banyak-orang,news.detik.com,22/9/25,Kriminal,Rafi
12,https://news.detik.com/berita/d-8086709/seluruh-layanan-transjakarta-disetop-sementara-malam-ini,news.detik.com,29/8/25,Layanan,Rafi
13,https://news.detik.com/berita/d-8086780/total-3-halte-transjakarta-rusak-dan-terbakar-malam-ini,news.detik.com,29/8/25,Kriminal,Rafi
