Entity Label,Top 10 Kata (Frekuensi)
ORG,transjakarta (461); tempo (34); mrt (27); trans (26); pt transportasi jakarta (17); pt (11); 2025 (11); senayan (10); tj (9); persija (9)
LOC,halte (24); blok (23); ancol (20); senen (11); ragu (10); koridor (8); jalan (8); tanjung (8); monas (7); stop operasi (6)
PRD,ai (26); motor (20); bus transjakarta (19); bus listrik (18); mobil (18); halte (17); liputan6. com (15); instagram (12); rp (11); brt (11)
PER,ayu (37); johan budi (16); ayu wardhani (15); metro (11); pramono (11); rd (11); pram (10); pramono anung (9); rano karno (7); affa (7)
GPE,jakarta (237); depok (17); dki jakarta (15); jakarta selatan (14); dki (11); bekasi (10); indonesia (8); jakarta pusat (8); jakarta barat (8); bogor (7)
CRD,20 (31); satu (31); dua (24); tujuh (16); tiga (12); 13 (12); 30 (10); 14 (10); enam (9); 10 (8)
DAT,2025 (22); 2024 (19); sabtu (17); jumat (15); agustus (14); 31 agustus 2025 (12); 29 agustus 2025 (7); agustus 2025 (7); rabu (6); senin (6)
NOR,pemerintah (33); polda (23); polisi (14); kepolisian (11); kepala departemen (10); brimob (10); kpk (10); gubernur (8); gubernur dki jakarta (7); dpr (7)
EVT,hut (6); 2025 (6); bermotor (5); hari (4); libur lebaran (4); kemerdekaan (3); ##bs (3); lebaran (3); ##b (3); 2024 (3)
TIM,##nan (8); 24 (6); 23 59 wib (5); 17 (4); ##g (3); ##a (3); penyesuaian (3); 05 (2); ayu (2); 6a (2)
QTY,200 (11); 500 (4); 20 (3); dua tahun (3); 151 (3); 300 (3); 10 menit (3); satu (2); 20 menit (2); 24 (2)
FAC,pelabuhan (6); transjakarta (6); halte (6); pelabuhan tanjung priok (5); priok (5); halte transjakarta (3); stasiun mrt bundaran hi (3); terminal tanjung priok (3); stasiun (2); jaga jakarta (2)
MON,rp (10); rp 1 (7); rp 80 (4); persen (4); triliun (3); 000 (2); ribu (1); 500 (1); rp 350 (1); rp 9. 831 (1)
ORD,pertama (11); ketiga (5); kedua (2); ketujuh (2)
LAW,surat keputusan ( sk (1); instruksi gubernur dki jakarta nomor 6 tahun 2025 (1); surat keputusan ( sk ) (1); instruksi (1); gc (1); peraturan (1); naskah kerja sama (1); mou (1); sk (1); surat (1)
REG,alhamdulil (1); insya allah (1); ##6 h (1)
PRC,20 (1)
