Tag,Tag Name,Count,Unique Tokens
NN,"Noun, singular or mass",18284,2870
JJ,Adjective,3463,919
VBP,"Verb, non‑3rd person singular present",785,367
NNS,"Noun, plural",668,140
VBD,"Verb, past tense",309,153
IN,Preposition/subordinating conjunction,294,106
FW,Foreign word,171,98
VBZ,"Verb, 3rd person singular present",135,78
VBG,"Verb, gerund/present participle",114,40
VB,"Verb, base form",94,30
NNP,"Proper noun, singular",85,34
TO,to,53,1
RB,Adverb,30,24
VBN,"Verb, past participle",11,7
PRP,Personal pronoun,10,2
CC,Coordinating conjunction,10,6
WP,Wh-pronoun,10,4
RP,Particle,6,3
CD,Cardinal number,5,3
DT,Determiner,3,3
WRB,Wh-adverb,2,2
JJR,"Adjective, comparative",2,1
MD,Modal,2,2
RBS,"Adverb, superlative",1,1
