No;Link;Sumber;Tanggal;Tag;PIC;Judul;Isi Berita;Status
1;https://news.detik.com/berita/d-8114173/hore-naik-transjakarta-mrt-lrt-jakarta-rp-1-di-17-19-september;news.detik.com;16/9/25;Tarif;Rafi;Hore! Naik Transjakarta, MRT, LRT Jakarta Rp 1 di 17 dan 19 September;"Dalam rangka memperingati Hari Perhubungan Nasional 2025 dan Hari Keselamatan Lalu Lintas dan Angkutan Jalan Nasional 2025, naik transportasi umum di Jakarta hanya Rp 1 pada tanggal 17 September dan 19 September 2025. Ini berlaku untukTransjakarta,MRThinggaLRT Jakarta.
Berikut informasi resmi dari Dishub DKI Jakarta.

SCROLL TO CONTINUE WITH CONTENT
Tarif Rp 1 untuk Transjakarta, MRT hingga LRT Jakarta berlaku selama tanggal 17 September dan 19 September 2025 pada waktu:
Berikut ketentuan penerapan tarif Rp 1 untuk naik Transjakarta, MRT, dan LRT Jakarta di tanggal 17 September dan 19 September 2025.
*Layanan Mikrotrans. Transjakarta Cares (Layanan penugasan Transportasi Jakarta lainnya), serta layanan gratis bagi Masyarakat berdasarkan Pergub DKI Jakarta No.133 tahun 2018 tentang Pelayanan Transjakarta Gratis dan Bus Gratis Bagi Masyarakat tertentu yang sudah memiliki tarif Rp O tetap berlaku sesuai tarif awal.

Berikut golongan yang bisa menggunakan Transjakarta, MRT, dan LRT Jakarta secara gratis.
- Penerima layanan gratis dengan kartu Jakcard Combo:
- Penerima layanan gratis dengan TJ Card:

Simak juga Video 'Rupa Halte Senen Sentral yang Kini Jadi Halte Jaga Jakarta':

[Gambas:Video 20detik]";success
2;https://news.detik.com/berita/d-8084934/sejumlah-layanan-transjakarta-terganggu-imbas-demo-ini-daftar-rute-yang-dialihkan;news.detik.com;29/8/25;Layanan;Rafi;Sejumlah Layanan Transjakarta Terganggu Imbas Demo, Ini Daftar Rute yang Dialihkan;"Sejumlah layananTransjakartapagi ini masih beroperasi secara situasional menyesuaikan kondisi imbas demo di lapangan. Beberapa koridor dan rute terpaksa dialihkan, diperpendek, bahkan ada yang dihentikan sementara.
""Selamat pagi teman-teman. Sejumlah layanan Transjakarta hari ini masih beroperasi situasional, menyesuaikan kondisi di lapangan,"" ujar Kepala Departemen Humas dan CSR Transjakarta, Ayu Wardhani dalam keterangannya, Jumat (29/8/2025).
Ayu mengimbau pelanggan untuk selalu mengecek informasi terbaru layanan Transjakarta melalui aplikasi TJ: Transjakarta atau media sosial resmi Transjakarta.
SCROLL TO CONTINUE WITH CONTENT

Berikut daftar lengkap penyesuaian layanan Transjakarta hari ini:Bus Rapid Transit (BRT)• Koridor 2 (Pulogadung-Balai Kota): Pengalihan rute mulai pukul 05.00 WIB.• Koridor 2A (Pulogadung-Rawa Buaya): Stop operasi.• Koridor 5 (Kampung Melayu-Ancol): Stop operasi.• Koridor 5C (PGC-Juanda): Stop operasi.• Koridor 7 (Kampung Melayu-Kampung Rambutan): Perpendekan rute jadi Kampung Rambutan-BNN.• Koridor 7F (Kampung Rambutan-Juanda): Stop operasi.• Koridor 14 (JIS-Senen): Perpendekan rute jadi JIS-Tanah Tinggi.
Angkutan Umum Integrasi• Rute 6H (Senen-Lebak Bulus): Dialihkan via Jl Budi Utomo.• Rute 1R (Blok M-Tanah Abang): Dialihkan via Jl Budi Utomo.• Rute 2P (Senen-Dukuh Atas): Dialihkan via Jl Budi Utomo.• Rute 5N (Kampung Melayu-Ragunan): Diperpendek jadi Ragunan-Kolong FO Kampung Melayu-Ragunan.• Rute 5B (Bidara Cina-Stasiun Tebet): Stop operasi.

Rusun• Rute 2H (Rusun Jatirawasari-Senen): Diperpendek sampai BS Honda Letjen Suprapto.
Mikrotrans• JAK02 (Duren Sawit-Kampung Melayu): Stop operasi.• JAK10B (Stasiun Gondangdia-Cikini via Kramat): Dialihkan di Jl Prajurit KKO Kwitang arah Senen.• JAK17 (Pulogadung-Terminal Senen): Dialihkan di Jl Kramat Raya.
Ayu menambahkan, pihaknya akan terus memperbarui informasi layanan sesuai kondisi terbaru di lapangan.



[Gambas:Video 20detik]";success
3;https://news.detik.com/berita/d-8108095/truk-mogok-di-jalan-gatsu-arah-cawang-sejumlah-rute-transj-terganggu;news.detik.com;12/9/25;Operasional;Rafi;Truk Mogok di Jalan Gatsu Arah Cawang, Sejumlah Rute TransJ Terganggu;"Truk mengalami gangguan di Jalan Gatot Subroto arah Cawang. Gangguan truk itu menyebabkan sejumlah ruteTransJakartamengalami keterlambatan.
""Koridor 9, Rute 6B, 6M, 9A dan Rute 9D mengalami keterlambatan kedatangan dikarenakan adanya truk yang mengalami kendala teknis di sekitar Halte Widya Chandra Telkomsel arah Pinang Ranti,"" demikian informasi akun X resmi Transjakarta pukul 07.09 WIB, dilihat, Jumat (12/9/2025).

SCROLL TO CONTINUE WITH CONTENT
Berdasarkan informasi lalu lintas via aplikasi Google Maps, tidak ada kepadatan berarti di dekat lokasi truk gangguan di jalan Gatsu arah Semanggi. Indikator lalu lintas terpantau berwarna biru.
Selain di Jalan Gatsu, TransJakarta juga menginformasikan adanya truk mogok di dekat halte Tanjung Duren arah Cawang. Sejumlah rute terganggu.
""Koridor 8, 8M, 8K, 9, 9A, 3F dan S11 mengalami keterlambatan kedatangan terkait adanya truk yang mogok di sekitar Halte Tanjung Duren arah Cawang,"" demikian informasi TransJakarta.

Lihat juga Video: Imbas Kecelakaan Truk, Jalan Tol Ancol Dipenuhi Cat Putih

[Gambas:Video 20detik]";success
4;https://news.detik.com/berita/d-8018912/rano-karno-rute-transjakarta-ancol-blok-m-akan-meluncur-agustus;news.detik.com;19/7/25;Operasional;Rafi;Rano Karno: Rute TransJakarta Ancol-Blok M Akan Meluncur Agustus;"Wakil Gubernur DKI JakartaRano Karnomenargetkan rute baru TransJakarta yang menghubungkan kawasan Ancol dengan Blok M bisa mulai beroperasi pada Agustus mendatang. Rano menjelaskan pembukaan rute tersebut tengah didesain agar berjalan dengan matang.
Apalagi, kata Rano, kawasan Ancol saat ini juga sedang dilakukan penataan dan pembangunan infrastruktur penunjang.
""Tentu itu sedang didesain ya. Kita nggak mau sporadis juga. Wilayah Ancol itu kan memang sedang ada penggarapan. Kita harus atur betul jalurnya,"" kata Rano di kawasan Lebak Bulus, Jakarta Selatan, Sabtu (19/7/2025).
SCROLL TO CONTINUE WITH CONTENT
Menurutnya, jalur Ancol-Blok M akan mendukung aktivitas masyarakat yang menuju Jakarta International Stadium (JIS), yang kini menjadi markas Persija. Sebelumnya, Pemprov DKI menyiapkan 30 unit bus TransJakarta denganbrandingPersija untuk mendukung mobilitas suporter.
""Karena JIS-nya akan hidup. Apalagi Persija sudahhome basedi situ. Jadi tugas TransJakarta harus bisa menyalurkan itu,"" ujarnya.
Meski belum menyebut tanggal pasti, Rano menargetkan layanan baru Blok M-Ancol ini mulai berjalan seiring dengan dimulainya Liga 1 pada Agustus mendatang.
""Belum tentu bulan ini, tapi kalau kita hitung mulai Liga, ya mungkin sekitar Agustus, bulan-bulan depanlah,"" ungkapnya.
Pemerintah Provinsi DKI Jakarta berharap jalur ini bisa mempermudah akses warga, khususnya suporter sepakbola, ke kawasan Ancol dan stadion. Selain itu, penambahan rute diharapkan dapat mendorong penggunaan transportasi publik di Ibu Kota.

Lihat juga Video: Rencana Rute Baru Transjabodetabek, Bekasi-Dukuh Atas & Blok M-Ancol

[Gambas:Video 20detik]";success
5;https://oto.detik.com/berita/d-8127426/bus-listrik-transjakarta-kecelakaan-di-setiabudi-bukan-karena-rem-blong;oto.detik.com;24/9/25;Layanan;Rafi;Bus Listrik Transjakarta Kecelakaan di Setiabudi: Bukan karena Rem Blong;"Bus listrik Transjakarta sempat mengalami kecelakaan pada 6 September lalu di Jalan Minangkabau, Setiabudi, Jakarta Selatan. Ditegaskan, bus listrik itu masih laik operasi. Penyebab kecelakaan bukan karena rem blong.
Bus listrik Damri 240177 menabrak toko di wilayah Setiabudi, Jakarta Selatan, awal September ini. Satu orang mengalami luka dalam peristiwa tersebut.
Banyak informasi yang beredar menyebutkan bus listrik tersebut mengalami rem blong. Namun ditegaskan, rem bus berfungsi dengan baik dan bus dinyatakan laik operasi.
SCROLL TO CONTINUE WITH CONTENT

""Informasi yang beredar ada rem blong dan segala macam, kami pastikan itu tidak terjadi. Jadi, kondisi armada itu layak operasi. Dan kemudian, kondisi pramudi pada saat pagi juga lulus fit to work,"" kata Direktur Utama PT Transportasi Jakarta (Transjakarta) Welfizon Yuza seperti dikutipAntara.
Welfizon mengatakan, masa kerja pramudi yang mengendarai bus itu terbilang cukup lama, yakni sekitar 8 tahun 10 bulan. Sopir berusia 44 tahun itu bukan pramudi baru dan armada dipastikan layak operasi.
Berdasarkan rekaman kamera CCTV dari dalam bus, kecelakaan itu terjadi saat bus melalui lintasan putar balik atau U-Turn.
""Lintasan ini sifatnya sementara. Karena ada dampak beberapa pembangunan infrastruktur di sini, rutenya mengalami peralihan. Kemudian, ada U-Turn yang cukup tajam dan penyebabnya pada saat melalui U-Turn, pramudi mengalami micro sleep,"" jelas Welfizon.

Setelah itu, bagian kiri bus menyerempet trotoar. Pengemudi kaget dan banting setir ke kanan. Saat bermaksud menginjak rem, karena sopir panik bus malah menabrak pertokoan.
Praktisi keselamatan berkendara yang juga Senior Instructor Safety Defensive Consultant Indonesia (SDCI), Sony Susmana, menjelaskan microsleep adalah kondisi pengemudi benar-benar letih.
""Microsleep adalah sebuah kondisi di mana otak pengemudi blank karena terlalu lelah akibat tidak beristirahat untuk refresh secara berkala,"" jelas Sony.";success
6;https://news.detik.com/berita/d-8099155/transjakarta-investigasi-internal-usai-bus-seruduk-warung-di-jaksel;news.detik.com;6/9/25;Layanan;Rafi;Transjakarta Investigasi Internal Usai Bus Seruduk Warung di Jaksel;"Sebuah busTransjakartamenabrak warung di wilayah Setiabudi, Jakarta Selatan, siang tadi. Pihak Transjakarta meminta maaf maaf dan akan menginvestigasi insiden tersebut.
""Transjakarta mohon maaf atas kejadian ini. Betul, bus listrik operator Damri, no bodi DMR-240177. Di Jalan Saharjo arah Galunggung, Sabtu siang,"" kata Kepala Departemen Humas dan CSR Transjakarta Ayu Wardhani saat dimintai konfirmasi, Sabtu (6/9/2025).
Ayu mengatakan pihaknya sedang melakukan investigasi internal terkait peristiwa tersebut. Dia menuturkan kasus kecelakaan itu sudah ditangani pihak kepolisian.
SCROLL TO CONTINUE WITH CONTENT
""Transjakarta dan operator secara paralel sudah melakukan pengecekan, dan memastikan tidak ada kendala teknis. Kami sedang melakukan investigasi internal lebih lanjut. Selain itu, kasusnya juga sudah ditangani oleh kepolisian,"" ujarnya.

Sebelumnya, Kasubdit Gakkum Ditlantas Polda Metro Jaya AKBP Ojo Ruslani mengatakan kecelakaan ini terjadi pukul 11.30 WIB tadi. Penjaga toko berinisial S (34) mengalami sejumlah luka dan dilarikan ke RSCM untuk mendapatkan perawatan medis.
""(Korban) mengalami luka pada pergelangan kaki kiri, pergelangan kaki kanan lecet, dan mendapatkan pertolongan medis di RSCM Jakarta,"" kata AKBP Ojo Ruslani dalam keterangannya, Sabtu (6/9/2025).
Ojo mengatakan kecelakaan ini bermula saat TransJ yang dikemudikan oleh LK (44) melaju dari arah Selatan di Jalan Minangkabau, Jakarta Selatan. TransJ itu kemudian oleng dan menabrak toko milik HK saat tiba di putaran Saharjo.
""Karena kurang hati-hati dan konsentrasi, kendaraan tidak terkontrol dan oleng ke kanan dan menabrak toko HK yang berada di kanan jalan serta menyebabkan seorang penjaga toko atas nama S, yang sedang berada di di halaman toko, mengalami luka-luka,"" ujarnya.

Lebih lanjut Ojo mengatakan TransJ itu mengalami kerusakan pada bagian depan. Dia menuturkan pihaknya masih mendalami penyebab kecelakaan tersebut.
""Dugaan sementara penyebab kecelakaan masih dalam penyelidikan,"" ujarnya.
Kejadian ini terekam video amatir dan viral di media sosial. Dalam rekaman video yang beredar terlihat toko dalam kondisi porak-poranda usai diseruduk TransJ, sementara kaca-kaca bus tersebut pecah.

Lihat juga Video 'Kecelakaan Supercar Tabrak Pembatas Jalan di Tol Kunciran':

[Gambas:Video 20detik]";success
7;https://news.detik.com/berita/d-8125150/investigasi-3-kali-kecelakaan-bus-dalam-sebulan-transj-gandeng-knkt;news.detik.com;22/9/25;Layanan;Rafi;Investigasi 3 Kali Kecelakaan Bus dalam Sebulan, TransJ Gandeng KNKT;"Armada busTransjakartamengalami 3 kali kecelakaan dalam sebulan terakhir. PT Transjakarta menggandeng Komite Nasional Keselamatan Transportasi (KNKT) untuk melakukan audit dan evaluasi menyeluruh terhadap operasional layanan.
Transjakarta mengatakan langkah ini merupakan respons atas arahan Gubernur DKI Jakarta Pramono Anung untuk melakukan evaluasi usai kecelakaan. TransJ kemudian menggelar audiensi dengan dengan KNKT di kantor KNKT, Jakarta Pusat, Senin (22/9/2025).
""Keselamatan adalah prioritas utama kami. Kami menggandeng KNKT karena keahlian dan independensi mereka dalam melakukan investigasi kecelakaan,"" ujar Direktur Utama Transjakarta Welfizon Yuza kepada wartawan.
SCROLL TO CONTINUE WITH CONTENT
Welfizon mengatakan kerja sama ini mencakup investigasi mendalam terhadap penyebab kecelakaan, baik yang berhubungan dengan faktor manusia (SDM), prosedur operasional, maupun teknis armada. Hasil dari investigasi ini akan menjadi dasar bagi Transjakarta untuk merumuskan perbaikan sistem secara komprehensif.
""Kami menyadari adanya kebutuhan untuk perbaikan di berbagai aspek. Oleh karena itu, kami akan bekerja sama erat dengan KNKT seperti yang sebelumnya pernah kami lakukan, untuk mengidentifikasi area-area yang perlu perbaikan,"" tambah Welfizon.
Welfizon berharap dengan adanya kerja sama ini, Transjakarta dan Mitra Operator bisa terus menghadirkan layanan transportasi publik yang memberikan rasa aman dan nyaman kepada pelanggan.
Sebelumnya, Transjakarta juga telah menjalankan rekomendasi KNKT, termasuk 15safety actions. Memastikan lintasan aman, walaupun bukan di dalam koridor merupakan salah satu pekerjaan rumah yang perlu dukungan dari berbagai pihak.
Diketahui, bus Transjakarta mengalami 3 kali kecelakaan dalam satu bulan. Salah satu bus Transjakarta menabrak pengendara hingga toko di wilayah Cakung, Jakarta Timur. Sejumlah orang mengalami luka-luka akibat kejadian tersebut. Peristiwa kecelakaan terjadi pada Jumat (19/9), pukul 05.30 WIB.
Lalu, pada Kamis (18/9), kecelakaan lalu lintas terjadi di Jalan Cideng Timur, tepatnya di perempatan RSUD Tarakan, Jakarta Pusat. Kecelakaan tersebut melibatkan dua kendaraan, yaitu bus Transjakarta koridor 3 dan sebuah truk.
Sementara pada awal bulan ini, sebuah bus Transjakarta menabrak toko di wilayah Setiabudi, Jakarta Selatan. Satu orang mengalami luka dalam peristiwa tersebut.
Pramono meminta evaluasi setelah terjadinya kecelakaan. Pramono tak ingin kecelakaan bus Transjakarta terulang.
""Ya kami mengevaluasi terhadap Transjakarta. Memang, kangini, kadang kala kejadiannya karena ada yangmotong(jalur TJ) dan sebagainya sehingga dengan demikian, tentunya akan kami perbaiki. Nggak boleh terjadi lagi,"" kata Pramono kepada wartawan di kantor Kemendikdasmen, Jakarta Pusat, Minggu (21/9).
Lihat juga Video: Bus TransJakarta Tabrak Toko di Cakung, 6 Orang Terluka

[Gambas:Video 20detik]";success
8;https://news.detik.com/berita/d-8058951/mereka-menjerit-berjam-jam-antre-di-transj-jalur-langit;news.detik.com;13/8/25;Keluhan;Rafi;Mereka Menjerit Berjam-jam Antre di TransJ Jalur Langit;"Habis hujan, terbit banjir dan macet. Frasa itu acap kali identik dengan kondisi ruas jalan di Jabodetabek sehabis diguyur hujan. Ujian kesabaran warga Jabodetabek ditambah dengan gangguan keberangkatan yang terjadi di beberapa halteTransjakartahingga menciptakan antrean penumpang yang membeludak.
Transjakarta koridor 13 diketahui mengalami gangguan keberangkatan pada Selasa (12/8/2025) malam. Transjakarta koridor 13 ini termasuk ke dalam Transjakarta 'jalur langit' atau rute-rute Transjakarta yang melewati jalan layang (elevated road). Rute Transjakarta koridor 13 ini membentang dari Puri Beta hingga Tendean dan Kuningan, serta rute 13C yang menghubungkan Tendean dengan Ciledug.
Sedari siang, sejumlah wilayah di Jabodetabek diketahui diguyur hujan deras. Hal itu membuat beberapa titik genangan air muncul pada malam harinya.
SCROLL TO CONTINUE WITH CONTENT
Lewat akun X miliknya pada Selasa (12/8) pukul 19.30 WIB, Transjakarta mengumumkan bus koridor 13 mengalami keterlambatan kedatangan karena adanya proyek pembangunan.

""#INFOTRANSJAKARTA | Koridor 13, Rute 13B dan Rute L13E mengalami keterlambatan kedatangan bus dikarenakan adanya pekerjaan pembangunan Jembatan Pelawad 2 Tangerang. Mohon maaf atas ketidaknyamanannya. #JAKI #PerluTahu #Koridor13 #Rute13B #RuteL13E,"" tulis TransJakarta.
Gangguan itu menyebabkan antrean panjang penumpang TransJakarta di Halte Tegal Mampang. Pantauandetikcomdi lokasi pada Selasa (12/8) malam, antrean penumpang mengular sampai luar halte.
Bus jalur koridor 13 yang sedianya datang tiap 5 menit hanya tampak sekitar 20 menit kemudian, khususnya bus arah Puri Beta dan Ciledug.
""Iya, ada macet di Puri Beta, ada genangan. Susah jalan,"" kata salah seorang petugas, Rudi, kepadadetikcom.

Gangguan kedatangan TransJakarta koridor 13 dan genangan air memberikan efek domino panjang di beberapa halte, paling parah terjadi di Halte CSW TransJakarta. Antrean penumpang mengular hingga tiga lantai imbas rute terganggu karena banjir.

Salah satu penumpang, Adelina Sihotang (30), mengaku harus antre tiga jam untuk naik TransJakarta. Dia mengantre dari pukul 18.30 WIB pada Selasa (12/8).
""NyampeCSW kurang lebih di jam 18.30, dari Setiabudi Astra naik MRT ke CSW. Dari CSW tujuan mau ke Puri Beta 2. Namun, saat keluar dari stasiun MRT menuju haltebuswayCSW,udahantre parah danstuck.Ternyata dapat info kalau di Puri Beta, Petukangan, sampai Kreo banjir,"" ujar Adelina saat dihubungidetikcom.
""Dan tidak ada bus yang jalan atau tertahan di Petukangan. Ditambah lagi di Puri Beta 1 ada perbaikan jalan,"" tambahnya.

Perjuangan mengantre tiga jam itu ternyata belum selesai. Adelia mengaku perjalanan bus masih mengalami gangguan kemacetan.
""Antre sampai 3 lantai. Setelah menunggu kurang lebih 3 jam antre akhirnya bisa masuk bus arah ke Puri Beta dan itu desak-desakan. Dan selama perjalanan itu bener-bener macet total,"" ujarnya.
Adelina menyebut perjalanan selama di bus itu memakan kurang lebih 90 menit. Dia dan para penumpang TransJakarta akhirnya menyerah dan menurunkan diri dengan berjalan kaki sekitar pukul 22.50 WIB di sekitar Halte Larangan.
""Dan sampai di Larangan, karena masihstuck,penumpang memutuskan turun dan jalan kaki. Dan ini saya masih jalan kaki menuju rumah karena tidak ada ojol yang mau ambil,"" ujarnya.

Curhatan lain disampaikan oleh penumpangTransJakartabernama Tisa. Dia menceritakan pengalaman horornya ikut dalam antrean di Halte CSW.
""Ini (antrean) sampai 2 lantai ya, bahkan eskalator di-holdkarena penuh banget di jalur 13 antreannya,"" ujar Tisa lewat pesan X, Rabu (13/8/2025).
Tisa mengatakan di lantai utama Halte CSW, antrean sampai ke arah jalur 6. Padahal normalnya antrean tak sampai di titik tersebut.
""Kurang lebihnya 2-3 jam akununggubus, karena antreannya sempat di-hold, jadi nggak gerak sama sekali hingga yang di atas terurai,"" sambungnya.
Saking lamanya menunggu, beberapa penumpang sampai duduk sambil mengantre karena sudah tak kuat berdiri. Ada pula yang makan sambil mengantre.

""Mostlymakan sih ya, karena mungkin itu jam pulang kerja danhecticjuga.Vibes-nya jadi berasa kayak pulang kampung,"" tutur Tisa.

TransJakarta lalu buka suara terkait antrean penumpang di Halte CSW yang membeludak semalam. Ternyata penyebab antrean penumpang ini membeludak adalah kemacetan parah yang disebabkan proyek pembangunan jalan dan banjir setelah hujan deras.
""Kami mengidentifikasi dua penyebab utama yang memicu kemacetan parah di jalur ini: proyek pembangunan jembatan Pelawad 2 di sekitar Puri Beta, dan genangan air dengan ketinggian 20-35 cm akibat hujan deras dan banjir di wilayah Kreo,"" ujar Kepala Departemen Humas dan CSR TransJakarta Ayu Wardhani kepada wartawan, Rabu (13/8/2025).
Ayu mengatakan antrean penumpang terjadi di area Halte CSW dan Halte Tegal Mampang. Antrean pelanggan di Halte CSW sempat mengalami penumpukan yang cukup panjang.
Dia menjelaskan dua faktor penyebab utama itu menghambat kelancaran operasional bus TransJakarta. Menurut Ayu, TransJakarta telah mengambil langkah-langkah untuk mengurangi penumpukan halte.
Terdapat total 19 bus dari rute lain yang diperbantukan ke Koridor 13 dengan detail sebagai berikut:

•⁠ ⁠⁠12 bus dari Koridor 1•⁠ ⁠⁠4 bus dari Koridor 9•⁠ ⁠⁠1 bus dari Koridor 7•⁠ ⁠⁠2 bus dari Koridor 3
""PT Transportasi Jakarta (TransJakarta) menyampaikan permohonan maaf atas ketidaknyamanan yang dialami oleh pelanggan di Koridor 13 (Ciledug - Tegal Mampang) akibat kepadatan lalu lintas yang signifikan, khususnya pada jam sibuk sore hingga malam hari,"" katanya.


[Gambas:Video 20detik]";success
9;https://news.detik.com/berita/d-8118174/kecelakaan-truk-vs-transj-di-cideng-jakpus-sopir-luka;news.detik.com;18/9/25;Kriminal;Rafi;Kecelakaan Truk Vs TransJ di Cideng Jakpus, Sopir Luka;"Bus TransJakarta (TransJ) terlibatkecelakaandengan satu unit truk di Jalan Cideng Timur arah Harmoni, Jakarta Pusat, dekat RSUD Tarakan. Kecelakaan ini terjadi pagi tadi pukul 04.45 WIB.
Kasubdit Gakkum Ditlantas Polda Metro Jaya AKBP Ojo Ruslani menjelaskan tabrakan dua kendaraan besar ini terjadi saat keduanya berjalan bersamaan di ruas jalan yang searah. Saat itu, truk hendak melaju ke arah Harmoni.
""Kendaraan truk NRKB B-9083-BYW yang dikemudikan saudara Putra Anugerah Lumbantobing melaju dari Jalan Cideng Timur arah Harmoni,"" jelas Ojo kepada wartawan, Kamis (18/9/2025).
SCROLL TO CONTINUE WITH CONTENT
Ojo mengatakan peristiwa kecelakaan itu terjadi di perempatan jalan RSUD Tarakan. Sopir truk tidak menyadari ada TransJ yang hendak berbelok.
""Tepatnya di perempatan RSUD Tarakan wilayah Jakarta Pusat, ketika sedang berjalan sehabis lampu merah, tiba-tiba tanpa disadari dari secara bersamaan datang kendaraan bus TransJakarta NRKB B-7165-PGA yang dikemudikan saudari Yolanda Pardamean Ritonga yang ingin berbelok,"" lanjutnya.
Dia menjelaskan, saat itu, tabrakan kedua kendaraan pun tidak bisa terhindarkan. Keduanya kendaraan mengalami kerusakan. Sopir truk mengalami luka dan langsung dibawa ke RS Tarakan.
""Akibat kecelakaan tersebut, kendaraan yang terlibat mengalami kerusakan dan pengemudi kendaraan truk NRKB B-9083-BYW mengalami luka di bagian kaki lecet dan dada sesak. Selanjutnya di bawa ke RS Tarakan untuk mendapat perawatan dan pemeriksaan lebih lanjut,"" ungkap Ojo.
Lihat juga Video 'Bus Tabrak Ruko di Jaksel, Transjakarta Minta Maaf':

[Gambas:Video 20detik]";success
10;https://news.detik.com/berita/d-8074906/motor-tersangkut-di-kolong-bus-transjakarta-di-plumpang-jakut;news.detik.com;23/8/25;Kriminal;Rafi;Motor Tersangkut di Kolong Bus Transjakarta di Plumpang Jakut;"Kecelakaan melibatkan busTransjakartadengan sepeda motor terjadi di daerah Plumpang, Koja, Jakarta Utara (Jakut). Sepeda motor tersebut sampai tersangkut di kolong bus.
Kecelakaan itu terjadi pada Jumat (22/8) petang. Seorang warga, Anwar Hidayatulloh, mengatakan pengemudi motor ada di antara bus dan mobil yang melaju searah di Jalan Yos Sudarso, Jakut.
""Motor itu jalan seperti biasa. Hanya saja bus di sebelah kanan dan di sebelah kiri mobil,"" kata Anwar, Jumat (22/8/2025).
SCROLL TO CONTINUE WITH CONTENT
Anwar saat itu baru saja putar balik dan awalnya berada di sebelah kanan bus. Pemotor tersebut lalu diduga mengalami senggolan hingga kemudian terjatuh.
""Menurut keterangan driver Avanza, dia jalan lurus dan tidak mepet ke motor. Tapi kenyataannya motor itu terhimpit bus dan mobil Avanza, kena lah kesenggol ban belakang bus,"" ucapnya.

Suara kecelakaan itu membuat sopir bus menghentikan laju kendaraan. Ketika itu, motor sudah masuk ke kolong bus.
Anwar mengatakan tak ada korban luka maupun jiwa dalam insiden kecelakaan tersebut. Kecelakaan sempat membuat lalu lintas di lokasi macet cukup parah.
""Karena kondisi padat merayap, ketika ada suara atau sopir bus merasa nabrak dan langsung memberhentikan laju busnya. Pengendara sempat banting badan ke kiri dan hanya motor yang terselip di ban belakang bus,"" katanya.
""Pengendara selamat, tidak ada korban jiwa. Hanya motor yang rusak parah dan menyebabkan kemacetan yang parah. Sampai ujung MOI,"" tambahnya.
detikcom berupaya meminta tanggapan dari pihak Transjakarta. Namun, hingga berita ini ditulis, belum mendapatkan respons.";success
